"","time","iSH2_1_10","PH_1_10","iSH2_1_2","PH_1_2","iSH2_1_3","PH_1_3","iSH2_1_5","PH_1_5","iSH2_1_6","PH_1_6","iSH2_1_7","PH_1_7","iSH2_1_9","PH_1_9","iSH2_2_1","PH_2_1","iSH2_2_2","PH_2_2","iSH2_2_4","PH_2_4","iSH2_2_5","PH_2_5","iSH2_2_6","PH_2_6","iSH2_2_7","PH_2_7","iSH2_2_8","PH_2_8","iSH2_3_5","PH_3_5","iSH2_3_7","PH_3_7","iSH2_3_8","PH_3_8"
"40",600,1.079,1.781,1.1278,1.7182,0.7778,1.9438,0.9907,1.808,0.826,1.6944,1.08,1.3492,1.1766,2.0319,0.6547,1.8552,0.7597,1.4305,0.9985,1.4804,0.8338,1.5166,0.8154,1.3426,0.8564,1.4575,0.9629,1.6019,0.97,1.7947,1.1394,1.6192,1.0955,2.2335
"41",615,1.0537,1.7792,1.0477,1.7246,0.8331,1.7998,1.0575,1.854,0.819,1.6412,1.0846,1.332,1.1623,2.0466,0.6846,1.4103,0.7717,1.4474,0.9934,1.4882,0.8419,1.5121,0.7845,1.2657,0.8717,1.417,0.9253,1.7248,0.9675,1.8038,1.0954,1.5457,1.075,2.2354
"42",630,1.079,1.752,1.0718,1.6793,0.779,1.8625,1.1022,1.7988,0.8883,1.7903,1.0303,1.3147,1.1757,1.9006,0.7376,1.401,0.7709,1.4495,1.0298,1.4979,0.8418,1.5657,0.7864,1.2941,0.8564,1.403,0.9975,1.7293,0.9823,1.8105,1.0903,1.5745,1.0784,2.227
"43",645,1.0631,1.7926,1.0683,1.6448,0.8549,1.83,1.0603,1.8889,0.8939,1.7214,1.111,1.302,1.2641,1.9698,0.6607,1.5782,0.7955,1.4928,1.02,1.5212,0.8347,1.5438,0.7892,1.2986,0.8492,1.3931,0.9905,1.6869,0.9039,1.7756,1.156,1.6057,1.0441,2.161
"44",660,1.0571,1.6853,1.0606,1.6064,0.8099,1.8061,0.9205,1.8139,0.7571,1.5257,1.0766,1.2747,1.1635,2.0095,0.6516,1.6531,0.8355,1.4442,1.0505,1.4983,0.8643,1.5545,0.7799,1.289,0.8805,1.4113,0.9017,1.6324,0.9417,1.8122,1.0924,1.5793,1.0861,2.1497
"45",675,1.0672,1.7168,1.0628,1.6775,0.8078,1.8012,1.0115,1.7735,0.8728,1.5643,1.1005,1.3314,1.2232,1.9462,0.7757,1.6418,0.8377,1.4045,1.0227,1.4928,0.8662,1.5838,0.7818,1.2653,0.8913,1.4285,0.9977,1.621,0.9169,1.6703,1.0623,1.5503,1.0436,2.068
"46",690,1.0601,1.6914,1.0514,1.6375,0.7768,1.7521,1.1342,1.7951,0.9066,1.6578,1.1415,1.2779,1.2126,1.9953,0.5675,1.7862,0.7836,1.448,1.0147,1.4759,0.8739,1.5931,0.8171,1.2768,0.9006,1.4094,0.97,1.6703,0.9038,1.7312,1.1382,1.5765,1.0821,2.0993
"47",705,1.0971,1.8079,1.0599,1.6681,0.8731,1.8364,1.062,1.8553,0.904,1.6188,1.1263,1.2573,1.2963,1.9298,0.5875,1.3074,0.7912,1.4289,1.0346,1.4966,0.8615,1.5895,0.8046,1.2511,0.8794,1.3814,0.9844,1.6585,0.9325,1.7239,1.131,1.5682,1.0761,2.1331
"48",720,1.0692,1.7542,1.0563,1.642,0.8561,1.8221,1.0245,1.7708,0.8627,1.5736,1.1127,1.308,1.2252,1.9771,0.5715,1.8896,0.7933,1.4117,1.0841,1.5085,0.8638,1.6041,0.7939,1.2536,0.8542,1.373,0.9031,1.6472,0.9047,1.6596,1.112,1.5657,1.1117,2.2049
"49",735,1.0859,1.7227,1.0274,1.7042,0.7246,1.6172,0.9804,1.8303,0.9115,1.6723,0.9616,1.3127,1.1835,1.9603,0.7141,1.5241,0.7841,1.3795,1.0371,1.496,0.8423,1.5515,0.8119,1.2128,0.8766,1.4041,0.9886,1.6837,0.9016,1.6559,1.1421,1.5628,1.086,2.1315
"50",750,1.0654,1.7998,1.0576,1.5598,0.8201,1.7641,0.9598,1.7881,0.903,1.4666,1.0166,1.2691,1.2407,1.9608,0.6324,1.5223,0.8078,1.4133,1.0038,1.4775,0.8532,1.5831,0.8064,1.2809,0.87,1.3689,1.012,1.647,0.9556,1.6112,1.1448,1.5618,1.1107,2.1551
"51",765,1.1061,1.7229,1.0831,1.6457,0.8282,1.8443,0.9771,1.7177,0.8845,1.6008,1.0595,1.3435,1.2738,1.8926,0.6558,1.458,0.7991,1.4158,1.0537,1.5267,0.8827,1.5582,0.8181,1.2255,0.8459,1.3502,0.8961,1.6213,0.933,1.5789,1.1189,1.5831,1.0843,2.1359
"52",780,1.1596,1.7709,1.051,1.6182,0.7806,1.6175,0.9749,1.6867,0.8539,1.4903,1.1025,1.3703,1.2396,1.8343,0.7687,1.5408,0.7733,1.3878,1.0397,1.4834,0.8711,1.5647,0.8166,1.2253,0.8751,1.3775,1.0576,1.6801,0.9121,1.591,1.1708,1.5584,1.1215,2.1793
"53",795,1.1214,1.7083,1.0877,1.6458,0.7626,1.7088,0.9966,1.8485,0.98,1.5292,1.1681,1.3469,1.181,1.8909,0.7753,1.2042,0.76,1.3924,1.0101,1.4264,0.8714,1.5563,0.8302,1.2345,0.9255,1.3832,0.9616,1.6375,0.9451,1.5937,1.1278,1.5096,1.0943,2.1651
"54",810,1.0841,1.7724,1.043,1.5777,0.825,1.6809,0.9646,1.8071,0.9198,1.5103,1.0731,1.322,1.2518,1.8807,0.7249,1.5127,0.7773,1.3688,1.1076,1.5657,0.8746,1.6331,0.8211,1.2424,0.8735,1.3715,0.9972,1.6581,0.9348,1.5661,1.1582,1.5589,1.1249,2.1494
"55",825,1.137,1.7109,1.0828,1.5833,0.8586,1.7107,1.0133,1.7807,0.9169,1.5357,1.1537,1.3109,1.2803,1.8703,0.6487,1.4222,0.7841,1.4062,1.0588,1.5155,0.8646,1.5748,0.8115,1.1918,0.8744,1.3271,0.9812,1.6988,0.9328,1.5465,1.1565,1.5604,1.1104,2.1773
"56",840,1.0969,1.6919,1.0269,1.5545,0.8205,1.706,0.953,1.7278,0.9074,1.5627,1.0807,1.3384,1.2069,1.9404,0.7715,1.4674,0.7844,1.3921,1.0419,1.4942,0.8626,1.5803,0.8228,1.2474,0.8756,1.3346,1.0153,1.6269,0.962,1.535,1.1839,1.5633,1.1394,2.2583
"57",855,1.0832,1.7149,1.0652,1.5828,0.8403,1.7858,0.9933,1.7314,0.9674,1.5761,1.0637,1.2663,1.2245,1.9026,0.6008,1.7385,0.8065,1.3961,1.1194,1.5209,0.8502,1.605,0.7936,1.1843,0.9104,1.378,1.0144,1.6375,0.9687,1.5055,1.1437,1.5572,1.1081,2.2051
"58",870,1.0797,1.7234,1.0294,1.5643,0.8036,1.7068,1.0533,1.7813,1.0032,1.572,1.151,1.2918,1.1895,1.782,0.6108,1.4549,0.7892,1.3865,1.0887,1.5472,0.8716,1.5698,0.823,1.2254,0.869,1.3614,1.0447,1.6638,0.8963,1.5251,1.111,1.5257,1.1149,2.2229
"59",885,1.0987,1.6977,1.0393,1.6076,0.8381,1.7743,1.0155,1.6506,0.8701,1.5159,1.1274,1.2935,1.242,1.9128,0.6459,1.5723,0.7845,1.3926,1.0941,1.5352,0.8813,1.6018,0.7956,1.2105,0.8747,1.3413,1.0638,1.7054,0.9143,1.5303,1.1568,1.5609,1.1345,2.2271
"60",900,1.0986,1.7147,1.0554,1.58,0.825,1.6429,1.0225,1.8096,0.9616,1.5666,1.1291,1.2779,1.309,1.9358,0.7852,1.3906,0.7985,1.4009,1.1068,1.5339,0.8949,1.579,0.8265,1.186,0.8675,1.3482,0.997,1.6618,0.9523,1.5663,1.1661,1.5757,1.1593,2.269
"61",915,1.1088,1.6443,1.0318,1.6272,0.844,1.7447,1.0058,1.8036,0.9483,1.6093,1.1351,1.3114,1.2038,1.8594,0.7264,1.5867,0.7926,1.3677,1.0758,1.5162,0.8897,1.5964,0.8253,1.2413,0.9098,1.3682,1.0728,1.6614,0.9257,1.5133,1.1588,1.5516,1.1122,2.2975
"62",930,1.1182,1.6715,0.9886,1.5398,0.852,1.7186,1.0374,1.6983,0.8805,1.5856,1.113,1.2264,1.2519,1.8383,0.8214,1.16,0.8134,1.3745,1.1041,1.5495,0.892,1.6099,0.8175,1.2094,0.9088,1.3965,1.0044,1.6221,0.9516,1.5324,1.1568,1.5729,1.1284,2.2245
"63",945,1.1252,1.6208,1.0438,1.6459,0.8287,1.5879,1.0085,1.6799,0.9339,1.5305,1.1563,1.2253,1.2344,1.8282,0.6368,1.4848,0.7878,1.3758,1.097,1.5378,0.8797,1.5762,0.8416,1.2014,0.9222,1.3599,1.0575,1.6762,0.8922,1.4752,1.1693,1.5382,1.1038,2.2751
"64",960,1.0884,1.6973,1.0281,1.5498,0.845,1.675,1.0162,1.7494,0.9172,1.5157,1.1197,1.2853,1.1754,1.8233,0.6464,1.5645,0.774,1.3277,1.0663,1.5287,0.9025,1.5768,0.8073,1.2081,0.9214,1.3477,0.9508,1.6428,0.9904,1.4637,1.171,1.5382,1.1586,2.2335
"65",975,1.1055,1.6056,1.0572,1.538,0.8425,1.7119,1.0929,1.6783,0.9646,1.5214,1.1531,1.3613,1.229,1.7996,0.6918,1.4895,0.7869,1.327,1.0813,1.5456,0.8962,1.5851,0.8306,1.1899,0.8954,1.3113,1.1326,1.6805,0.9828,1.4585,1.1833,1.5734,1.123,2.2881
"66",990,1.1087,1.7192,1.0537,1.5225,0.8218,1.6935,1.0211,1.661,0.9243,1.5365,1.1375,1.2919,1.2523,1.7736,0.7536,1.4297,0.7769,1.3462,1.0616,1.5058,0.8872,1.5823,0.8174,1.235,0.8946,1.3626,1.0689,1.6621,0.9634,1.4822,1.1955,1.5591,1.1097,2.2314
"67",1005,1.102,1.6599,1.039,1.5378,0.8992,1.6273,1.0365,1.6008,0.8989,1.5088,1.0652,1.3027,1.1462,1.7747,0.8409,1.3283,0.7848,1.3143,1.0873,1.5503,0.865,1.5297,0.7942,1.1505,0.9336,1.352,1.0961,1.6664,0.994,1.4612,1.1724,1.5319,1.1338,2.162
"68",1020,1.1,1.6477,1.0652,1.5668,0.8185,1.6524,0.9446,1.5976,0.8689,1.4901,1.027,1.3208,1.251,1.8258,0.8166,1.4337,0.7817,1.3009,1.0585,1.5107,0.9051,1.5872,0.7966,1.1357,0.8962,1.3066,1.0798,1.7026,0.9237,1.4457,1.1901,1.5351,1.1216,2.2315
"69",1035,1.0385,1.6348,1.0443,1.5089,0.7874,1.6218,0.9613,1.5381,0.8578,1.4819,1.0654,1.254,1.2247,1.718,0.7936,1.2398,0.7905,1.3602,1.0614,1.5379,0.9137,1.6083,0.8208,1.1721,0.9328,1.4266,1.0571,1.7159,0.9069,1.4626,1.1562,1.5175,1.0776,2.1266
"70",1050,1.1445,1.6268,1.0434,1.4862,0.8596,1.5992,1.074,1.7191,0.9592,1.59,1.1932,1.1758,1.2636,1.7555,0.7712,1.3805,0.757,1.325,1.0778,1.5047,0.9229,1.5815,0.8091,1.1755,0.8831,1.3148,1.1309,1.7501,0.9373,1.4541,1.1592,1.4936,1.1154,2.1615
"71",1065,1.1287,1.6022,1.0396,1.5795,0.8716,1.6471,0.9953,1.6633,0.9616,1.5259,1.1466,1.2508,1.2772,1.7051,0.7146,1.4356,0.8378,1.3698,1.129,1.5412,0.9194,1.5711,0.8334,1.152,0.8835,1.307,1.0734,1.7154,0.9203,1.4489,1.1923,1.5474,1.1685,2.2044
"72",1080,1.178,1.7178,1.0787,1.5261,0.8824,1.6881,1.0415,1.6461,0.8841,1.5143,1.1382,1.2436,1.2727,1.723,0.5799,1.2234,0.8154,1.3395,1.1673,1.6177,0.9204,1.5508,0.8314,1.1941,0.9121,1.3035,1.0776,1.6997,0.9855,1.479,1.1822,1.5308,1.1775,2.2699
"73",1095,1.137,1.6099,1.0696,1.4926,0.8437,1.5817,0.9961,1.5781,0.9294,1.5089,1.1404,1.2434,1.224,1.7319,0.7046,1.2343,0.8036,1.2878,1.1234,1.5484,0.8949,1.5127,0.836,1.1214,0.8777,1.2624,1.0434,1.6797,0.9709,1.4133,1.1532,1.4714,1.2009,2.2402
"74",1110,1.175,1.639,1.0243,1.4164,0.8741,1.5421,0.9317,1.5957,0.917,1.4117,1.1403,1.3487,1.2074,1.745,0.6811,1.4916,0.8138,1.2874,1.1052,1.583,0.9114,1.5489,0.8395,1.178,0.89,1.3155,1.102,1.6764,0.9863,1.457,1.1757,1.4644,1.1671,2.224
"75",1125,1.1382,1.5975,1.0493,1.494,0.807,1.6103,0.926,1.6122,0.9596,1.4287,1.1427,1.2736,1.2147,1.7689,0.6079,1.7345,0.8004,1.2881,1.1388,1.5758,0.9474,1.5791,0.8186,1.1077,0.9254,1.3281,1.1466,1.7294,0.9667,1.461,1.1618,1.4698,1.197,2.2366
"76",1140,1.1389,1.6296,1.0722,1.4164,0.9189,1.5701,1.0209,1.7189,0.9883,1.5324,1.1943,1.2579,1.2274,1.6966,0.6095,1.3978,0.8148,1.3097,1.1413,1.6142,0.9309,1.5053,0.8075,1.1594,0.9313,1.3439,1.2065,1.7795,0.9661,1.4286,1.1575,1.4929,1.1399,2.2495
"77",1155,1.1657,1.6202,1.0677,1.4193,0.9384,1.6656,1.0625,1.5953,0.9692,1.5034,1.1566,1.2631,1.2363,1.747,0.9899,1.1972,0.8112,1.3196,1.1316,1.6021,0.9504,1.5309,0.8231,1.1632,0.9395,1.3654,1.1878,1.7883,0.9336,1.4155,1.1531,1.4576,1.0842,2.201
"78",1170,1.152,1.6384,1.0775,1.4303,0.8681,1.506,0.9801,1.5621,0.9804,1.5051,1.1497,1.2194,1.2539,1.6618,0.6848,1.504,0.7799,1.3657,1.1366,1.5723,0.9291,1.5157,0.8197,1.1262,0.9423,1.3614,1.1034,1.6793,0.9923,1.434,1.1522,1.4389,1.1275,2.204
"79",1185,1.1525,1.5777,1.0563,1.4363,0.9035,1.5359,0.9986,1.5771,0.9723,1.4143,1.161,1.2881,1.2168,1.6177,0.6326,1.2093,0.7837,1.3111,1.1684,1.5544,0.9596,1.5491,0.8295,1.1526,0.9704,1.3928,1.1485,1.741,0.9589,1.3596,1.1883,1.4666,1.1386,2.2401
"80",1200,1.1635,1.5834,1.0325,1.4691,0.8884,1.4979,1.024,1.5732,0.9008,1.4152,1.0977,1.2892,1.2247,1.7067,0.7256,1.4267,0.7931,1.326,1.1747,1.5925,0.9423,1.5754,0.8024,1.1053,0.9484,1.3211,1.176,1.7792,0.9521,1.3909,1.1778,1.4257,1.1294,2.2041
"81",1215,1.2174,1.6273,1.0583,1.4328,0.9181,1.5798,1.0277,1.5631,1.0023,1.3957,1.0906,1.2352,1.2234,1.6475,0.6655,1.3386,0.7942,1.3365,1.1511,1.5602,0.9687,1.508,0.8088,1.1274,0.978,1.3612,1.1216,1.7009,0.9545,1.4129,1.1351,1.4313,1.1427,2.1064
